1,イタリアン
2,フレンチ
3,洋食
4,中華
5,グリル料理
6,寿司
7,お好み焼き
8,ファストフード
9,和食
10,唐揚げ
11,とんかつ
12,ラーメン
13,丼物
14,弁当
15,その他
